"Date","Time","Open","High","Low","Close","Up","Down"
10/07/2020,12:23,3424.44,3424.47,3423.61,3424.01,2102,2218
10/07/2020,12:24,3423.99,3424.56,3423.87,3424.05,2346,2134
10/07/2020,12:25,3424.08,3424.16,3423.83,3424.11,1682,2198
10/07/2020,12:26,3424.11,3424.48,3423.91,3424.30,2311,1578
10/07/2020,12:27,3424.27,3424.75,3423.95,3423.97,2259,2213
10/07/2020,12:28,3423.98,3424.08,3423.23,3423.48,2915,2510
10/07/2020,12:29,3423.44,3423.48,3422.28,3422.28,1490,3736
10/07/2020,12:30,3422.29,3423.31,3422.29,3423.30,3524,1391
10/07/2020,12:31,3423.31,3424.27,3423.06,3423.74,3229,2840
10/07/2020,12:32,3423.75,3423.80,3423.39,3423.42,2255,2430
10/07/2020,12:33,3423.44,3423.52,3420.47,3420.54,1734,4634
10/07/2020,12:34,3420.49,3421.85,3420.49,3420.83,3587,2350
10/07/2020,12:35,3420.86,3420.86,3419.64,3419.74,1775,3679
10/07/2020,12:36,3419.69,3420.61,3419.69,3420.06,3071,2723
10/07/2020,12:37,3420.06,3420.77,3419.76,3419.76,2128,3594
10/07/2020,12:38,3419.72,3419.91,3418.79,3419.90,2524,3088
10/07/2020,12:39,3420.10,3421.31,3420.10,3420.44,3368,2419
10/07/2020,12:40,3420.44,3421.36,3419.67,3421.35,3802,1389
10/07/2020,12:41,3421.48,3422.24,3420.86,3422.24,3927,2212
10/07/2020,12:42,3422.21,3422.61,3421.87,3422.11,2652,2767
10/07/2020,12:43,3422.10,3422.12,3421.24,3421.36,1617,2591
10/07/2020,12:44,3421.37,3421.84,3420.88,3420.88,1701,3515
10/07/2020,12:45,3420.83,3421.30,3420.31,3421.04,3392,2656
10/07/2020,12:46,3421.03,3421.56,3419.88,3420.47,3101,4214
10/07/2020,12:47,3420.48,3421.50,3420.33,3421.46,3279,2684
10/07/2020,12:48,3421.44,3421.44,3420.14,3420.60,3461,4424
10/07/2020,12:49,3420.68,3420.90,3419.68,3420.47,4386,3873
10/07/2020,12:50,3420.48,3421.71,3420.25,3421.71,4528,2731
10/07/2020,12:51,3421.69,3422.62,3420.08,3420.10,4246,8994
10/07/2020,12:52,3420.12,3421.69,3420.12,3421.60,5940,3454
10/07/2020,12:53,3421.47,3421.56,3420.58,3421.36,4735,5141
10/07/2020,12:54,3421.35,3422.03,3420.49,3422.03,5734,4337
10/07/2020,12:55,3422.02,3424.98,3421.79,3424.98,8447,5456
10/07/2020,12:56,3424.89,3424.89,3421.97,3422.53,6462,9625
10/07/2020,12:57,3422.36,3423.29,3421.39,3422.94,9734,5730
10/07/2020,12:58,3422.97,3422.97,3421.77,3421.99,6944,9679
10/07/2020,12:59,3422.21,3422.21,3420.02,3420.02,12154,10962
10/07/2020,13:00,3419.98,3421.66,3418.44,3419.44,266208,20789
10/08/2020,06:31,3434.28,3437.70,3434.28,3437.02,54450,7059
10/08/2020,06:32,3437.14,3437.23,3435.43,3435.43,5837,6991
10/08/2020,06:33,3435.37,3438.42,3434.29,3438.38,7474,4847
10/08/2020,06:34,3438.46,3439.09,3437.40,3438.22,5236,6108
10/08/2020,06:35,3437.93,3437.93,3435.94,3435.94,3157,5730
10/08/2020,06:36,3435.86,3436.35,3434.67,3436.07,4922,5221
10/08/2020,06:37,3436.38,3436.84,3434.89,3436.47,5086,2941
10/08/2020,06:38,3436.61,3436.73,3435.93,3436.48,4011,3347
10/08/2020,06:39,3436.47,3437.00,3436.22,3436.74,4055,3780
10/08/2020,06:40,3436.65,3436.88,3435.66,3436.73,4135,2758
10/08/2020,06:41,3436.77,3438.43,3436.77,3437.48,3996,3326
10/08/2020,06:42,3437.41,3437.52,3435.69,3435.99,2912,4084
10/08/2020,06:43,3436.05,3436.31,3435.68,3435.83,4630,2782
10/08/2020,06:44,3435.79,3437.61,3434.67,3437.61,5474,3610
10/08/2020,06:45,3437.47,3438.03,3437.01,3437.40,3378,3510
10/08/2020,06:46,3437.27,3438.21,3437.00,3438.21,5141,3302
10/08/2020,06:47,3438.26,3439.07,3436.41,3436.86,3417,4346
10/08/2020,06:48,3436.89,3436.89,3434.40,3435.41,2321,3830
10/08/2020,06:49,3435.45,3435.45,3433.85,3434.52,2736,2903
10/08/2020,06:50,3434.44,3435.11,3433.32,3433.42,3148,3694
10/08/2020,06:51,3433.38,3434.60,3433.34,3434.41,3163,1889
10/08/2020,06:52,3434.47,3435.19,3434.21,3434.80,2955,2523
10/08/2020,06:53,3434.96,3437.19,3434.96,3437.19,3771,2064
10/08/2020,06:54,3437.23,3437.94,3436.71,3437.85,3753,2589
10/08/2020,06:55,3437.84,3440.49,3437.84,3439.78,4343,3737
10/08/2020,06:56,3439.89,3441.34,3439.28,3441.34,4400,1955
10/08/2020,06:57,3441.30,3441.36,3440.78,3441.26,3094,3314
10/08/2020,06:58,3441.28,3441.60,3441.11,3441.24,2002,3091
10/08/2020,06:59,3441.16,3441.49,3440.53,3440.53,1960,2573
10/08/2020,07:00,3440.49,3440.89,3439.74,3440.70,2583,2593
10/08/2020,07:01,3441.03,3443.17,3441.03,3442.37,3649,3541
10/08/2020,07:02,3442.33,3442.33,3439.95,3439.95,2741,3272
10/08/2020,07:03,3439.98,3440.40,3439.32,3439.32,2824,2719
10/08/2020,07:04,3439.23,3439.23,3432.84,3434.82,2924,5842
10/08/2020,07:05,3434.78,3435.79,3433.91,3435.72,3398,2001
10/08/2020,07:06,3435.78,3436.56,3435.15,3436.55,3192,1963
10/08/2020,07:07,3436.52,3437.86,3436.52,3436.61,11963,2776
10/08/2020,07:08,3436.64,3437.53,3436.64,3437.53,2729,2091
10/08/2020,07:09,3437.49,3438.69,3435.77,3435.77,3516,3499
10/08/2020,07:10,3435.82,3436.80,3435.76,3436.79,2410,1949
10/08/2020,07:11,3436.81,3438.32,3436.72,3438.28,2694,1594
10/08/2020,07:12,3438.25,3438.34,3436.93,3437.03,2113,2550
