Date,Time,Adj Vol,Open,High,Low,Close
2015-09-22,16:58:00,128387.0,19.7,22.7,19.7,21.8
2015-09-21,17:00:00,88487.0,21.6,22.05,19.6,19.75
2015-09-18,16:15:00,112530.0,20.1,22.15,19.8,21.5
2015-09-17,17:00:00,151866.0,19.1,20.55,17.65,20.0
2015-09-16,16:58:00,102776.0,20.35,23.0,18.9,19.05
2015-09-15,17:00:00,143515.0,22.9,24.2,20.3,20.35
2015-09-14,17:00:00,86307.0,22.85,24.3,22.5,23.65
2015-09-11,16:15:00,96593.0,23.4,25.45,22.85,22.95
2015-09-10,17:00:00,171504.0,24.2,26.7,23.3,24.6
2015-09-09,17:00:00,133481.0,24.65,25.85,22.45,25.85
2015-09-08,17:00:00,63064.0,27.1,27.2,24.45,24.6
2015-09-07,11:30:00,3489.0,27.95,28.05,26.4,27.0
2015-09-04,16:15:00,91170.0,25.55,28.8,25.4,27.95
2015-09-03,16:56:00,123052.0,25.85,26.55,23.55,25.6
2015-09-02,16:58:00,108319.0,29.85,30.1,25.75,25.9
2015-09-01,17:00:00,153851.0,26.4,30.8,26.35,29.65
2015-08-31,17:00:00,78848.0,24.5,26.5,24.5,26.4
2015-08-28,16:15:00,118468.0,23.9,26.3,23.6,24.4
2015-08-27,17:00:00,176349.0,23.6,25.45,22.1,23.85
2015-08-26,17:00:00,201854.0,25.1,26.45,22.85,23.75
2015-08-25,16:59:00,231158.0,25.2,25.75,20.7,25.4
2015-08-24,17:00:00,314204.0,20.65,27.5,20.15,25.25
2015-08-21,16:15:00,284426.0,17.15,19.9,17.0,19.9
2015-08-20,17:00:00,162737.0,15.7,17.35,15.5,17.1
2015-08-19,17:00:00,138048.0,15.2,15.9,14.1,15.7
2015-08-18,17:00:00,97040.0,15.05,15.3,13.7,15.2
2015-08-17,16:59:00,96230.0,14.25,15.45,13.85,13.85
2015-08-14,16:15:00,87270.0,14.25,15.35,14.05,15.1
2015-08-13,16:54:00,125180.0,15.3,15.5,14.0,15.15
2015-08-12,17:00:00,202802.0,14.4,16.65,14.3,15.25
2015-08-11,16:59:00,84502.0,13.65,14.85,13.6,14.35
2015-08-10,16:59:00,46023.0,14.35,14.35,13.5,13.6
2015-08-07,16:15:00,89385.0,14.45,14.9,13.9,14.25
2015-08-06,16:59:00,78754.0,13.95,14.8,13.8,14.5
2015-08-05,17:00:00,61069.0,14.2,14.2,13.55,13.95
2015-08-04,16:55:00,63528.0,13.9,14.35,13.8,14.15
2015-08-03,16:53:00,76183.0,14.0,14.5,13.8,13.85
2015-07-31,16:15:00,63739.0,14.05,14.25,13.8,14.0
2015-07-30,16:58:00,74706.0,14.15,14.6,13.95,13.95
2015-07-29,16:59:00,84816.0,14.4,14.5,14.05,14.1
2015-07-28,16:58:00,99664.0,15.7,15.8,14.35,14.35
2015-07-27,16:54:00,103338.0,14.85,16.15,14.8,15.75
2015-07-24,16:15:00,101881.0,14.15,15.15,14.1,14.95
2015-07-23,16:59:00,103247.0,14.15,14.65,14.0,14.2
2015-07-22,17:00:00,73090.0,14.45,14.85,12.65,14.15
2015-07-21,16:57:00,105311.0,14.25,14.55,12.45,12.6
2015-07-20,16:59:00,95032.0,14.45,14.55,12.4,14.25
2015-07-17,16:15:00,79097.0,12.95,14.65,12.75,14.4
2015-07-16,16:54:00,123235.0,13.95,15.4,12.9,14.5
2015-07-15,16:59:00,111344.0,14.0,15.9,13.9,15.35
2015-07-14,17:00:00,56479.0,14.5,14.65,13.9,14.05
2015-07-13,16:58:00,70932.0,17.6,17.65,14.45,14.55
2015-07-10,16:15:00,84425.0,18.55,18.6,16.5,16.75
2015-07-09,16:59:00,91108.0,18.45,18.95,17.15,18.8
2015-07-08,16:57:00,115227.0,16.4,18.5,16.4,18.45
2015-07-07,17:00:00,133422.0,17.1,18.6,16.2,16.4
