purchase date,sale date,purchase underlying price,sale underlying price,contracts number,equity after sale of options,option price at purchase,option price at sale,profit/loss
2009-01-12,2009-02-10,890.40002,868.04999,6416.0,5464103.87,26.64213,5.31858,-137069.9
2009-02-10,2009-05-11,868.04999,922.98999,7777.0,5657925.4,20.90394,3.73644,-133823.65
2009-05-11,2009-08-10,922.98999,1010.11999,8109.0,5975441.08,20.78263,0.04207,-168511.2
2009-08-10,2009-11-10,1010.11999,1096.42004,51690.0,6291106.69,3.42778,0.02493,-177961.32
2009-11-10,2010-03-10,1096.42004,1148.26001,18579.0,6434387.99,10.11591,1.23553,-165732.58
2010-03-10,2010-07-12,1148.26001,1080.78003,29015.0,7344587.84,6.58905,25.71821,553870.58
2010-07-12,2010-10-12,1080.78003,1172.57996,20231.0,6942257.3,9.74415,0.00247,-197893.93
2010-10-12,2011-02-10,1172.57996,1322.78003,34870.0,7594640.52,5.93252,2e-05,-208262.28
2011-02-10,2011-03-16,1322.78003,1280.91003,1121752.0,19809289.68,0.16311,5.6701,6132605.05
2011-03-16,2011-07-11,1280.91003,1343.31006,101636.0,13801985.17,3.92969,0.66334,-336044.75
2011-07-11,2011-11-10,1343.31006,1246.21997,77735.0,19872978.73,5.26048,48.34964,3346425.85
2011-11-10,2012-02-10,1246.21997,1351.20996,26011.0,16941174.87,18.54538,1e-05,-483425.62
2012-02-10,2012-06-11,1351.20996,1335.52002,245247.0,17405295.29,2.03234,2.39295,78628.52
2012-06-11,2012-10-10,1335.52002,1442.52002,97203.0,17617388.86,5.15067,0.00257,-504300.76
2012-10-10,2013-02-11,1442.52002,1518.31006,1006233.0,18092222.05,0.48524,0.07293,-455129.93
2013-02-11,2013-06-10,1518.31006,1648.68994,316712.0,19042214.95,1.6668,0.12075,-502322.59
2013-06-10,2013-10-10,1648.68994,1692.56006,156742.0,18990543.96,3.5973,0.23336,-533540.68
2013-10-10,2014-02-10,1692.56006,1799.93994,288454.0,19646913.21,1.93126,0.18613,-514929.73
2014-02-10,2014-06-10,1799.93994,1950.85999,161074.0,20591791.07,3.60922,1e-05,-587793.89
2014-06-10,2014-10-10,1950.85999,1936.97998,7531744.0,31738431.98,0.04202,0.81046,5486423.36
2014-10-10,2015-02-10,1936.97998,2070.86011,325395.0,27477572.41,2.32336,1.40193,-312844.71
2015-02-10,2015-06-10,2070.86011,2108.5,65502.0,26693074.16,12.33573,0.06814,-806173.68
2015-06-10,2015-08-24,2108.5,1965.15002,1057756.0,74369939.16,0.71694,23.76964,24341819.74
2015-08-24,2015-12-10,1965.15002,2067.6499,111606.0,50312873.28,13.19246,0.45433,-1426117.74
2015-12-10,2016-04-11,2067.6499,2062.92993,313063.0,49677054.31,4.77648,1.67375,-983873.96
2016-04-11,2016-08-10,2062.92993,2183.40991,300281.0,50815282.27,4.8707,0.60813,-1291980.78
2016-08-10,2016-12-12,2183.40991,2264.03003,233808.0,50918764.13,6.45669,0.00469,-1517883.22
2016-12-12,2017-04-10,2264.03003,2366.37012,5558495.0,51399049.07,0.23481,1e-05,-1527474.63
2017-04-10,2017-08-10,2366.37012,2465.37988,31951317.0,50668370.39,0.00826,8e-05,-1539415.77
2017-08-10,2017-12-11,2465.37988,2660.33008,23043922.0,52108036.48,0.02596,0.0,-1519978.22
2017-12-11,2018-02-02,2660.33008,2808.91992,38550951.0,53379596.43,0.00055,0.02018,-785284.83
2018-02-02,2018-02-06,2808.91992,2701.04004,5056403.0,169797454.43,0.27209,11.95882,58890558.63
2018-02-06,2018-06-11,2701.04004,2790.20996,445504.0,109528942.6,7.32214,0.04531,-3259678.87
2018-06-11,2018-10-10,2790.20996,2874.02002,3797903.0,109625312.28,0.82502,0.04811,-3102546.82
2018-10-10,2018-10-26,2874.02002,2692.37988,4404601.0,315634939.45,0.70542,24.56106,104898389.8
