purchase date,sale date,purchase underlying price,sale underlying price,contracts number,equity after sale of options,option price at purchase,option price at sale,trade costs,cost of purchase,profit/loss
1969-07-10,1969-11-10,97.04,99.23,3231.0,1144170.95,0.10642,0.00494,343.84,34384.3,-33132.03
1969-11-10,1970-01-19,99.23,90.72,8082.0,1387989.51,0.04226,0.45815,341.55,34154.53,335780.75
1970-01-19,1970-05-11,90.72,79.72,3028.0,1497322.66,0.13643,1.05795,413.11,41311.0,278623.15
1970-05-11,1970-09-10,79.72,82.98,1341.0,1511272.26,0.33254,0.07187,445.94,44593.61,-35401.79
1970-09-10,1971-01-11,82.98,92.67,1375.0,1636336.0,0.32797,0.0014199999999999998,450.96,45095.87,-45351.58
1971-01-11,1971-05-10,92.67,103.15,3609.0,1765665.74,0.13534000000000002,7e-05,488.44,48844.21,-49307.38
1971-05-10,1971-08-09,103.15,94.55,14828.0,2109956.03,0.035539999999999995,0.36129,526.99,52698.71,482495.11
1971-08-09,1971-12-10,94.55,97.69,5043.0,2159547.64,0.12455999999999999,0.11855999999999998,628.16,62815.61,-3653.96
1971-12-10,1972-04-10,97.69,110.54,1335.0,2369563.32,0.48239,7e-05,643.99,64399.06,-65033.71
1972-04-10,1972-08-10,110.54,111.68,13018.0,2337911.05,0.054329999999999996,0.01295,707.27,70726.79,-54575.75
1972-08-10,1972-12-11,111.68,119.78,9774.0,2432471.8,0.07139,0.00141,697.77,69776.59,-69096.22
1972-12-11,1973-04-03,119.78,110.35,10026.0,2967207.39,0.07242,0.78475,726.08,72608.29,713455.98
1973-04-03,1973-08-10,110.35,106.03,2339.0,2814480.89,0.37758,0.28858,883.16,88315.96,-21700.26
1973-08-10,1973-12-10,106.03,98.58,2130.0,2894450.44,0.39432,1.66,839.9,83990.16,268749.94
1973-12-10,1974-03-11,98.58,99.4,1663.0,2826141.66,0.51875,0.02352,862.68,86268.13,-83219.43
1974-03-11,1974-07-10,99.4,82.22,1364.0,2657377.3,0.61833,2.84099,843.4,84340.21,302327.42
1974-07-10,1974-09-04,82.22,69.85,4042.0,3014768.33,0.19591,2.0434099999999997,791.87,79186.82,745967.63
1974-09-04,1974-12-10,69.85,68.17,1705.0,2881944.6,0.5262600000000001,0.32363000000000003,897.27,89727.33,-35445.68
1974-12-10,1975-03-10,68.17,85.47,1280.0,3503277.54,0.67162,1e-05,859.67,85967.36,-86825.75
1975-03-10,1975-06-10,85.47,91.21,4362.0,3624585.64,0.23973000000000003,0.00161,1045.7,104570.23,-104913.64
1975-06-10,1975-10-10,91.21,89.17,2115.0,3579328.65,0.51139,0.6764399999999999,1081.59,108158.98,33826.49
1975-10-10,1976-01-12,89.17,96.76,3529.0,3765182.8,0.30258,0.0001,1067.8,106780.48,-107812.99
1976-01-12,1976-05-10,96.76,103.51,3267.0,3912250.58,0.34394,0.02301,1123.65,112365.2,-105971.48
1976-05-10,1976-09-10,103.51,105.03,4474.0,3853914.07,0.26098000000000005,0.01227,1167.62,116762.45,-112440.47
1976-09-10,1977-01-10,105.03,105.75,17298.0,3801151.38,0.0665,0.02256,1150.32,115031.7,-77157.73
1977-01-10,1977-05-10,105.75,100.09,11652.0,3678707.03,0.09737,0.16205999999999998,1134.56,113455.52,74242.23
1977-05-10,1977-09-12,100.09,96.64,8600.0,3492141.55,0.12761,0.05755,1097.45,109744.6,-61349.05
1977-09-12,1978-01-10,96.64,91.29,14441.0,3448332.21,0.07217,0.17144,1042.21,104220.7,142313.6
1978-01-10,1978-05-10,91.29,96.69,7618.0,3556029.06,0.13501,0.02483,1028.51,102850.62,-84963.63
1978-05-10,1978-09-11,96.69,108.05,5202.0,3853197.26,0.20401,0.00125,1061.26,106126.0,-106537.01
1978-09-11,1978-11-01,108.05,97.41,11556.0,5032649.11,0.09952000000000001,1.42672,1150.05,115005.31,1532562.27
1978-11-01,1979-02-13,97.41,99.58,11138.0,4943468.46,0.13442,0.00015,1497.17,149717.0,-151047.1
1979-02-13,1979-06-11,99.58,102.24,8338.0,4927995.62,0.17698,0.00919,1475.66,147565.92,-141378.96
1979-06-11,1979-10-10,102.24,106.23,24035.0,5079982.65,0.0612,0.04786,1470.94,147094.2,-33533.63
1979-10-10,1980-02-11,106.23,119.05,7322.0,5523577.73,0.20704,0.00462,1515.95,151594.69,-149727.87
1980-02-11,1980-03-18,119.05,104.71,10910.0,6453030.46,0.15112,1.58198,1648.72,164871.92,1559419.54
1980-03-18,1980-06-10,104.71,115.5,11420.0,6854784.3,0.16821,0.00045,1920.96,192095.82,-193502.88
1980-06-10,1980-10-10,115.5,132.14999,4393.0,7619993.02,0.46568000000000004,0.03608,2045.73,204573.22,-190769.01
1980-10-10,1981-01-12,132.14999,135.88001,11507.0,7614775.34,0.19765,0.01567,2274.36,227435.86,-211678.75
1981-01-12,1981-04-10,135.88001,136.23,11930.0,7409103.63,0.19052,0.00586,2272.9,227290.36,-222572.28
1981-04-10,1981-08-10,136.23,133.32001,11684.0,7074966.06,0.18927,0.03803,2211.43,221143.07,-178920.25
1981-08-10,1981-09-08,133.32001,120.12,42227.0,8389864.92,0.05001,0.51805,2111.77,211177.23,1974280.74
1981-09-08,1982-01-11,120.12,120.34,20038.0,8253786.42,0.12465,0.07594,2497.74,249773.67,-100102.84
1982-01-11,1982-05-10,120.34,119.49,15748.0,8019635.79,0.15642,0.04593,2463.3,246330.22,-176462.95
1982-05-10,1982-08-09,119.49,103.69,28680.0,9318327.06,0.08346,0.8876299999999999,2393.63,239363.28,2303965.93
1982-08-09,1982-12-10,103.69,141.14999,18739.0,12286728.7,0.14802,0.03961,2773.75,277374.68,-205923.25
1982-12-10,1983-03-10,141.14999,154.01,3662.0,13000285.05,1.00142,0.0038799999999999998,3667.2,366720.0,-368966.35
1983-03-10,1983-06-10,154.01,162.76,12809.0,13321966.88,0.30294,0.00036,3880.36,388035.85,-391455.08
1983-06-10,1983-10-11,162.76,172.59,15393.0,13738822.0,0.25833,0.02646,3976.47,397647.37,-360893.96
1983-10-11,1984-02-10,172.59,156.52,16879.0,12991515.4,0.24295,0.53392,4100.75,410075.31,487027.51
1984-02-10,1984-06-11,156.52,155.17,22961.0,12597168.78,0.16877,0.05135,3875.13,387512.8,-273483.19
1984-06-11,1984-10-10,155.17,162.11999,37552.0,12807788.31,0.10012,0.01209,3759.71,375970.62,-334329.97
1984-10-10,1985-02-11,162.11999,182.19,39815.0,14007656.17,0.09602000000000001,0.0127,3823.04,382303.63,-335561.62
1985-02-11,1985-06-10,182.19,189.67999,10906.0,14148373.45,0.38338,0.006409999999999999,4181.14,418114.23,-415304.62
1985-06-10,1985-10-10,189.67999,182.78999,56020.0,13981656.62,0.07539,0.13444,4223.35,422334.78,326574.75
1985-10-10,1986-02-10,182.78999,216.24,28501.0,16053147.84,0.14635,0.00777,4171.12,417112.14,-399137.98
1986-02-10,1986-06-10,216.24,240.08,6921.0,17336588.32,0.6922699999999999,0.07583,4791.2,479120.07,-431429.32
1986-06-10,1986-10-10,240.08,236.27,4875.0,17343560.81,1.06144,1.62133,5174.52,517452.0,267771.86
1986-10-10,1987-01-12,236.27,261.35998,6678.0,18599819.91,0.77484,0.0019100000000000002,5174.38,517438.15,-521337.03
1987-01-12,1987-05-11,261.35998,298.69,3119.0,20725086.7,1.7798599999999998,0.3522,5551.38,555138.33,-450838.53
1987-05-11,1987-08-10,298.69,328.0,4767.0,22071159.34,1.2976,1e-05,6185.66,618565.92,-624746.81
1987-08-10,1987-10-14,328.0,314.51999,19567.0,27332138.97,0.33669,3.4443099999999998,6588.01,658801.32,6074092.04
1987-10-14,1987-10-19,314.51999,282.70001,8507.0,45178202.29,0.9566,24.95339,8137.8,813779.62,20405931.45
1987-10-19,1987-11-10,282.70001,243.17,1701.0,40791379.19,7.88847,19.744889999999998,13418.29,1341828.75,2003358.75
1987-11-10,1987-12-10,243.17,240.05,960.0,39991883.05,12.66269,10.109589999999999,12156.18,1215618.24,-257253.78
1987-12-10,1988-01-11,240.05,247.51,928.0,40048112.35,12.86054,0.6640199999999999,11934.58,1193458.11,-1143771.64
1988-01-11,1988-04-11,247.51,270.41,2456.0,42431441.67,4.86567,0.00252,11950.09,1195008.55,-1206339.73
1988-04-11,1988-08-10,270.41,266.48999,8037.0,41198602.48,1.5759100000000001,0.79599,12665.59,1266558.87,-639487.29
1988-08-10,1988-12-12,266.48999,278.82001,10031.0,41914414.32,1.22577,0.11260999999999999,12295.7,1229569.89,-1128906.5
1988-12-12,1989-04-10,278.82001,297.94,19709.0,43532884.31,0.63476,0.04906,12510.48,1251048.48,-1166866.61
1989-04-10,1989-08-10,297.94,349.78,24798.0,49579071.89,0.524,0.0061200000000000004,12994.15,1299415.2,-1297232.97
1989-08-10,1989-12-11,349.78,348.73999,20080.0,48898976.72,0.73701,0.47279,14799.16,1479916.08,-545352.92
1989-12-11,1990-04-10,348.73999,342.41,14149.0,46991304.85,1.03141,0.3024,14593.42,1459342.01,-1046069.67
1990-04-10,1990-08-10,342.41,339.89999,28507.0,47937764.69,0.49200000000000005,0.9378,14025.44,1402544.4,1256816.62
1990-08-10,1990-12-10,339.89999,328.97,8675.0,46711284.03,1.64857,1.98446,14301.34,1430134.48,277083.23
1990-12-10,1991-03-11,328.97,375.10001,18111.0,51646762.68,0.76959,0.00299,13938.04,1393804.45,-1402327.3
1991-03-11,1991-06-10,375.10001,379.75,16061.0,50743352.9,0.9598399999999999,0.02052,15415.99,1541599.02,-1524057.84
1991-06-10,1991-10-10,379.75,380.54999,11807.0,50031165.63,1.2828,0.59921,15146.02,1514601.96,-822260.73
1991-10-10,1992-02-10,380.54999,413.76999,10625.0,52882608.55,1.40531,0.11945,14931.42,1493141.88,-1381157.67
1992-02-10,1992-06-10,413.76999,410.10001,9488.0,51142147.67,1.66357,0.32256,15783.95,1578395.22,-1288134.24
1992-06-10,1992-10-13,410.10001,410.64002,20730.0,50444119.06,0.73637,0.3725,15264.95,1526495.01,-769567.46
1992-10-13,1993-02-10,410.64002,446.37,14101.0,53180619.75,1.06765,0.00335,15054.93,1505493.26,-1515824.36
1993-02-10,1993-06-10,446.37,446.22,50517.0,52637709.51,0.31424,0.21109,15874.46,1587446.21,-536957.32
1993-06-10,1993-10-12,446.22,462.47,23801.0,52924661.98,0.66001,0.008320000000000001,15708.9,1570889.8,-1566796.27
