purchase date,sale date,purchase underlying price,sale underlying price,contracts number,equity after sale of options,option price at purchase,option price at sale,trade costs,cost of purchase,profit/loss
1981-01-12,1981-04-10,135.88001,136.23,436.0,829146.88,0.19052,0.00586,83.07,8306.67,-8134.25
1981-04-10,1981-08-10,136.23,133.32001,435.0,804887.94,0.18927,0.03803,82.33,8233.24,-6661.27
1981-08-10,1981-09-08,133.32001,120.12,1601.0,801613.46,0.05001,0.51805,80.07,8006.6,74853.13
1981-09-08,1982-01-11,120.12,120.34,639.0,797903.57,0.12465,0.07594,79.65,7965.13,-3192.22
1982-01-11,1982-05-10,120.34,119.49,507.0,786606.04,0.15642,0.04593,79.3,7930.49,-5681.14
1982-05-10,1982-08-09,119.49,103.69,937.0,759679.11,0.08346,0.88763,78.2,7820.2,75272.53
1982-08-09,1982-12-10,103.69,141.14999,510.0,1022743.56,0.14802,0.03961,75.49,7549.02,-5604.4
1982-12-10,1983-03-10,141.14999,154.01,101.0,1104726.34,1.00142,0.00388,101.14,10114.34,-10176.29
1983-03-10,1983-06-10,154.01,162.76,362.0,1155706.94,0.30294,0.00036,109.66,10966.43,-11063.06
1983-06-10,1983-10-11,162.76,172.59,445.0,1214293.98,0.25833,0.02646,114.96,11495.68,-10433.17
1983-10-11,1984-02-10,172.59,156.52,497.0,1116906.67,0.24295,0.53392,120.75,12074.62,14340.46
1984-02-10,1984-06-11,156.52,155.17,658.0,1099166.4,0.16877,0.05135,111.05,11105.07,-7837.29
1984-06-11,1984-10-10,155.17,162.11999,1092.0,1138113.17,0.10012,0.01209,109.33,10933.1,-9722.21
1984-10-10,1985-02-11,162.11999,182.19,1179.0,1267574.93,0.09602,0.0127,113.21,11320.76,-9936.64
1985-02-11,1985-06-10,182.19,189.67999,328.0,1306593.62,0.38338,0.00641,125.75,12574.86,-12490.37
1985-06-10,1985-10-10,189.67999,182.78999,1724.0,1269819.93,0.07539,0.13444,129.97,12997.24,10050.25
