Date,Equity
1989-07-21,91849332.68
1989-07-24,91846648.91
1989-07-25,91953199.76
1989-07-26,92434411.08
1989-07-27,93514419.79
1989-07-28,93776862.34
1989-07-31,94629846.96
1989-08-01,95151984.43
1989-08-02,94154000.7
1989-08-03,94394549.0
1989-08-04,94449213.74
1989-08-07,95542992.22
1989-08-08,95657816.16
1989-08-09,95974969.92
1989-08-10,95641392.51
1989-08-10,92812565.94
1989-08-11,93180767.58
1989-08-14,91664676.03
1989-08-15,91556670.2
1989-08-16,91910424.08
1989-08-17,91915410.75
1989-08-18,91820022.39
1989-08-21,91877917.33
1989-08-22,90557012.7
1989-08-23,91495538.77
1989-08-24,93275563.71
1989-08-25,93586200.81
1989-08-28,93415332.74
1989-08-29,93424526.08
1989-08-30,93464066.71
1989-08-31,93247131.56
1989-09-01,93894061.66
1989-09-05,93954596.19
1989-09-06,93541423.55
1989-09-07,92946835.07
1989-09-08,92648361.81
1989-09-11,92537242.29
1989-09-12,92722186.76
1989-09-13,92892967.04
1989-09-14,91705076.37
1989-09-15,91559087.79
1989-09-18,92027946.76
1989-09-19,92378037.48
1989-09-20,92139649.11
1989-09-21,92451387.77
1989-09-22,92213779.08
1989-09-25,92077013.22
1989-09-26,92066754.24
1989-09-27,91655894.37
1989-09-28,92487967.6
1989-09-29,92937532.6
1989-10-02,93117332.7
1989-10-03,94105663.28
1989-10-04,94836897.23
1989-10-05,94873390.29
1989-10-06,95249814.45
1989-10-10,95616570.56
1989-10-11,95269696.42
1989-10-12,94703020.36
1989-10-13,94394180.27
1989-10-16,91093444.91
1989-10-17,91080891.72
1989-10-18,91221671.46
1989-10-19,92647364.95
1989-10-20,92307115.32
1989-10-23,92469583.4
1989-10-24,91588711.63
1989-10-25,91503732.69
1989-10-26,90981332.02
1989-10-27,89796336.66
1989-10-30,89549786.87
1989-10-31,90557017.62
1989-11-01,90784282.34
1989-11-02,90644670.11
1989-11-03,90241716.41
1989-11-06,89709838.6
1989-11-07,88981618.2
1989-11-08,90181896.14
1989-11-09,90002670.51
1989-11-10,90099248.91
1989-11-13,90465239.25
1989-11-14,90439727.14
1989-11-15,90475678.36
1989-11-16,90600210.15
1989-11-17,90917854.02
1989-11-20,90826342.19
1989-11-21,90383684.51
1989-11-22,90832699.48
1989-11-24,91436853.27
1989-11-27,91958167.17
1989-11-28,91980537.85
1989-11-29,91830352.5
1989-11-30,92021803.4
1989-12-01,93437873.46
1989-12-04,93338319.59
1989-12-05,93529642.88
1989-12-06,92924839.59
1989-12-07,92897059.9
1989-12-08,92833963.32
1989-12-11,92526445.66
1989-12-11,91532263.39
1989-12-12,92428462.84
1989-12-13,92922690.52
1989-12-14,92569854.39
1989-12-15,92333643.29
1989-12-18,92081863.59
1989-12-19,90213880.72
1989-12-20,90203418.03
1989-12-21,90551256.47
1989-12-22,91202465.38
1989-12-26,91289457.68
1989-12-27,91616867.07
1989-12-28,92022563.66
1989-12-29,92738038.4
1990-01-02,94384853.54
1990-01-03,94620489.05
1990-01-04,94139457.01
1990-01-05,93330911.8
1990-01-08,92955452.51
1990-01-09,92938522.83
1990-01-10,91747255.56
1990-01-11,91883411.15
1990-01-12,91471226.1
1990-01-16,89439976.53
1990-01-17,89770591.81
1990-01-18,88821377.97
1990-01-19,89369775.87
1990-01-22,89246531.76
1990-01-23,87369662.82
1990-01-24,87095323.44
1990-01-25,87259559.78
1990-01-26,86282722.69
1990-01-29,85949624.75
1990-01-30,85532661.28
1990-01-31,86415334.26
1990-02-01,86617585.21
1990-02-02,87201079.79
1990-02-05,87216301.37
1990-02-06,87137890.66
1990-02-07,87636746.65
1990-02-08,88240966.56
1990-02-09,87853285.9
1990-02-12,87598691.06
1990-02-13,87076577.48
1990-02-14,87482672.82
1990-02-15,88007325.59
1990-02-16,88119785.75
1990-02-20,87360576.67
1990-02-21,86174640.85
1990-02-22,86906191.46
1990-02-23,85648800.02
1990-02-26,86308537.2
1990-02-27,87157899.63
1990-02-28,87550157.68
1990-03-01,87789549.44
1990-03-02,88087805.21
1990-03-05,88304610.33
1990-03-06,88711760.79
1990-03-07,88946622.65
1990-03-08,89422436.05
1990-03-09,89320311.78
1990-03-12,88998683.64
1990-03-13,88891041.72
1990-03-14,88617451.33
1990-03-15,88950145.81
1990-03-16,89735981.8
1990-03-19,90219133.46
1990-03-20,90401226.25
1990-03-21,89838829.84
1990-03-22,89168466.67
1990-03-23,88593333.45
1990-03-26,89157851.47
1990-03-27,89619501.63
1990-03-28,89901138.75
1990-03-29,89764088.67
1990-03-30,89591288.37
1990-04-02,89206113.39
1990-04-03,90208070.04
1990-04-04,90302457.49
1990-04-05,89968476.32
1990-04-06,89675188.37
1990-04-09,89701158.08
1990-04-10,89851623.88
1990-04-10,87964895.54
1990-04-11,88115382.04
1990-04-12,88573717.64
1990-04-16,89213466.48
1990-04-17,88671963.31
1990-04-18,88705588.42
1990-04-19,87528036.0
1990-04-20,86966944.57
1990-04-23,86102544.22
1990-04-24,85547236.67
1990-04-25,85488274.41
1990-04-26,85747477.98
1990-04-27,85703271.65
1990-04-30,85124697.99
1990-05-01,85511745.62
1990-05-02,85928930.37
1990-05-03,86578194.35
1990-05-04,86946527.12
1990-05-07,87613199.29
1990-05-08,87859175.14
1990-05-09,88126060.07
1990-05-10,88612519.79
1990-05-11,90499551.05
1990-05-14,92060052.15
1990-05-15,91209399.12
1990-05-16,91103591.78
1990-05-17,91676540.95
1990-05-18,91089555.81
1990-05-21,92225412.1
1990-05-22,92592016.86
1990-05-23,92280605.9
1990-05-24,92349928.7
1990-05-25,92056448.04
1990-05-29,92633285.61
1990-05-30,93045531.31
1990-05-31,92935730.22
1990-06-01,93365983.44
1990-06-04,94477134.23
1990-06-05,94715589.32
1990-06-06,94166985.51
1990-06-07,93982685.73
1990-06-08,93361634.26
1990-06-11,92884787.29
1990-06-12,94331720.1
1990-06-13,94285893.8
1990-06-14,93723149.77
1990-06-15,93270821.64
1990-06-18,93214169.45
1990-06-19,92184141.99
1990-06-20,92442584.59
1990-06-21,92691038.91
1990-06-22,93288520.58
1990-06-25,91547864.97
1990-06-26,91465783.46
1990-06-27,91415188.1
1990-06-28,91860790.69
1990-06-29,92234715.76
1990-07-02,92359326.01
1990-07-03,92653662.92
1990-07-05,92509612.32
1990-07-06,92217869.03
1990-07-09,92481149.41
1990-07-10,92396385.03
1990-07-11,92779401.39
1990-07-12,93865152.25
1990-07-13,94947410.77
1990-07-16,94972902.93
1990-07-17,94875565.11
1990-07-18,94393499.19
1990-07-19,93829382.87
1990-07-20,94168748.0
1990-07-23,92882764.07
1990-07-24,91467518.17
1990-07-25,91829853.09
1990-07-26,91817026.19
1990-07-27,91425642.51
1990-07-30,91325567.4
1990-07-31,91833481.8
1990-08-01,91784756.15
1990-08-02,91316874.22
1990-08-03,90287243.48
1990-08-06,88610226.14
1990-08-07,87019639.38
1990-08-08,87165276.86
1990-08-09,87509989.62
1990-08-10,87344818.51
1990-08-10,89692356.0
1990-08-13,89425710.45
1990-08-14,89969485.76
1990-08-15,90221523.08
1990-08-16,89737363.85
1990-08-17,87715938.48
1990-08-20,87067730.32
1990-08-21,86707027.22
1990-08-22,85566237.22
1990-08-23,83586117.74
1990-08-24,82308205.56
1990-08-27,85327676.16
1990-08-28,85088470.93
1990-08-29,86040572.68
1990-08-30,85712669.95
1990-08-31,85191426.18
1990-09-04,85325998.49
1990-09-05,85700306.84
1990-09-06,85663192.09
1990-09-07,85607009.7
1990-09-10,86219992.74
1990-09-11,85080213.07
1990-09-12,85178175.85
1990-09-13,85168504.38
1990-09-14,84157962.02
1990-09-17,84000007.87
1990-09-18,84205892.53
1990-09-19,84335945.39
1990-09-20,83618741.01
1990-09-21,82461056.82
1990-09-24,82238200.03
1990-09-25,81450350.16
1990-09-26,81453162.63
1990-09-27,81244234.64
1990-09-28,80880988.67
1990-10-01,83212867.86
1990-10-02,84439696.51
1990-10-03,83545311.27
1990-10-04,82796306.26
1990-10-05,83158644.75
1990-10-09,82816160.97
1990-10-10,80984595.41
1990-10-11,79690198.49
1990-10-12,79749334.66
1990-10-15,80558705.18
1990-10-16,80443547.7
1990-10-17,79697705.35
1990-10-18,80808315.95
1990-10-19,82558608.68
1990-10-22,83429507.67
1990-10-23,83211871.66
1990-10-24,82806665.9
