purchase date,sale date,purchase underlying price,sale underlying price,contracts number,equity after sale of options,option price at purchase,option price at sale,trade costs,profit/loss
2001-09-20,2001-12-10,1016.09998,1158.31006,1400.0,13222281.49,2.55012,0.00062,3570.17,357016.8,-360500.17
2001-12-10,2002-04-10,1158.31006,1131.76001,611.0,12664704.22,6.45099,2.15816,3941.55,394155.49,-266233.46
2002-04-10,2002-06-26,1131.76001,977.42999,1202.0,14808870.53,3.14379,34.59863,3778.84,377883.56,3777092.93
2002-06-26,2002-07-24,977.42999,844.32001,1428.0,17152846.05,3.0857,33.17941,4406.38,440637.96,4292975.41
2002-07-24,2002-10-10,844.32001,806.51001,493.0,16201164.81,10.35422,7.25297,5104.63,510463.05,-157996.25
2002-10-10,2003-01-10,806.51001,932.89002,412.0,18174568.0,11.71186,0.01189,4825.29,482528.63,-486864.05
2003-01-10,2003-04-10,932.89002,871.78003,1325.0,17097612.22,4.09391,4.66281,5424.43,542443.08,69954.82
2003-04-10,2003-07-10,871.78003,1002.21002,930.0,19058707.67,5.48311,0.00012,5099.29,509929.23,-515017.36
2003-07-10,2003-11-10,1002.21002,1053.65002,1163.0,19451628.04,4.88863,0.14269,5685.48,568547.67,-557638.3
2003-11-10,2004-03-10,1053.65002,1141.44995,3301.0,20440178.32,1.75847,0.00364,5804.71,580470.95,-585074.09
2004-03-10,2004-07-12,1141.44995,1116.10999,13305.0,19500098.8,0.45857,0.08504,6101.27,610127.38,-503082.94
2004-07-12,2004-11-10,1116.10999,1169.25,33582.0,19891403.92,0.17332,0.02297,5820.43,582043.22,-510725.8
2004-11-10,2005-03-10,1169.25,1211.22998,10927.0,19995174.99,0.54334,0.00864,5937.08,593707.62,-590203.77
2005-03-10,2005-04-29,1211.22998,1156.96997,32156.0,25221900.52,0.18561,2.06183,5968.48,596847.52,6027204.55
2005-04-29,2005-08-10,1156.96997,1242.68994,7757.0,26197751.2,0.96791,8e-05,7508.08,750807.79,-758253.81
2005-08-10,2005-10-20,1242.68994,1197.30005,209362.0,34836100.66,0.03735,0.48963,7819.67,781967.07,9461204.87
2005-10-20,2006-02-10,1197.30005,1269.89001,36212.0,35720328.11,0.28631,0.00074,10367.86,1036785.77,-1044473.94
2006-02-10,2006-06-12,1269.89001,1255.21997,135287.0,37786687.99,0.07881,0.25907,10661.97,1066196.85,2428021.49
2006-06-12,2006-10-10,1255.21997,1354.22998,19730.0,39502999.39,0.57113,0.0,11268.39,1126839.49,-1138107.88
2006-10-10,2007-02-12,1354.22998,1439.10999,2457223.0,40717464.48,0.0048,0.0,11794.67,1179467.04,-1191261.71
2007-02-12,2007-02-27,1439.10999,1449.25,12804208.0,346467290.73,0.00095,0.23716,12164.0,1216399.76,302436033.17
2007-02-27,2007-06-11,1449.25,1515.53003,351841.0,348063137.3,0.29136,0.00352,102512.39,10251239.38,-10229903.73
2007-06-11,2007-07-26,1515.53003,1518.08997,729972.0,478405174.44,0.14233,1.90199,103896.91,10389691.48,128346356.04
2007-07-26,2007-11-13,1518.08997,1481.37,60920.0,480647639.25,2.33732,4.76058,142389.53,14238953.44,14620110.39
2007-11-13,2008-03-10,1481.37,1295.01001,20779.0,490872765.23,6.90052,39.81124,143385.91,14338590.51,68241799.18
2008-03-10,2008-06-10,1295.01001,1366.83997,27376.0,501625691.21,5.34325,0.01099,146276.81,14627681.2,-14743871.79
2008-06-10,2008-09-17,1366.83997,1210.33997,28388.0,598001119.88,5.27449,58.29731,149732.22,14973222.21,150371449.2
2008-09-17,2008-10-15,1210.33997,994.59998,13431.0,659205137.43,13.25305,135.67024,178001.71,17800171.46,164240526.18
2008-10-15,2008-11-10,994.59998,951.95001,5642.0,636523829.69,34.77426,46.52343,196196.37,19619637.49,6432685.34
2008-11-10,2008-12-10,951.95001,908.27002,3432.0,605488380.66,55.33198,48.00864,189899.36,18989935.54,-2703269.65
2008-12-10,2009-01-12,908.27002,890.40002,3509.0,582740442.35,51.48714,20.11438,180668.37,18066837.43,-11189369.85
2009-01-12,2009-02-10,890.40002,868.04999,6528.0,554489045.96,26.64213,5.31858,173919.82,17391982.46,-14093933.26
2009-02-10,2009-05-11,868.04999,922.98999,7917.0,574812982.91,20.90394,3.73644,165496.49,16549649.3,-13757006.24
