purchase date,sale date,purchase underlying price,sale underlying price,contracts number,equity after sale of options,option price at purchase,option price at sale,profit/loss
1966-03-07,1966-05-09,89.39,87.96,16595.0,20648.48,0.00011,0.00499,-583.02
1966-05-09,1966-08-18,87.96,81.38,13616.0,19638.82,0.00531,0.06436,258.02
1966-08-18,1966-08-29,81.38,76.24,10526.0,21426.86,0.01347,0.22812,1837.41
1966-08-29,1966-12-12,76.24,83.54,5412.0,19958.9,0.06546,2e-05,-572.16
1966-12-12,1967-04-10,83.54,89.32,12602.0,20167.41,0.00751,0.0,-600.64
1967-04-10,1967-06-06,89.32,90.59,14529.0,19788.3,0.00164,0.01909,-328.47
1967-06-06,1967-10-10,90.59,98.15,7667.0,20166.85,0.03634,0.0,-586.62
1967-10-10,1967-10-16,98.15,96.55,15121.0,18623.28,1e-05,0.00016,-603.73
1967-10-16,1967-11-01,96.55,94.21,13944.0,17067.07,6e-05,0.00089,-546.43
1967-11-01,1967-11-21,94.21,93.71,12711.0,15987.08,0.00025,0.00264,-479.62
1967-11-21,1968-03-11,93.71,90.56,11156.0,14716.98,0.0029,0.01038,-364.55
1968-03-11,1968-07-11,90.56,103.67,8451.0,15848.4,0.01183,0.0,-439.98
1968-07-11,1968-07-25,103.67,100.07,11160.0,14954.88,0.0026,0.026,-186.86
1968-07-25,1968-11-12,100.07,105.28,9080.0,14587.82,0.00845,0.0,-440.73
1968-11-12,1969-01-06,105.28,104.36,10940.0,13573.8,0.0,6e-05,-437.34
1969-01-06,1969-01-09,104.36,102.09,10159.0,12471.18,8e-05,0.00083,-400.38
1969-01-09,1969-05-12,102.09,105.65,9284.0,12120.33,0.00027,0.0,-374.51
1969-05-12,1969-05-28,105.65,103.91,9081.0,11192.33,4e-05,0.00041,-360.64
1969-05-28,1969-06-11,103.91,100.71,8355.0,10197.4,0.00017,0.00174,-322.88
1969-06-11,1969-07-10,100.71,97.04,7524.0,9347.17,0.0006,0.0096,-234.28
1969-07-10,1969-07-28,97.04,91.91,6439.0,8991.55,0.00321,0.05725,89.96
