Date,Equity1,num_stocks,price_stocks,stocks_value,options_value_calc,num_options,options_value_reported
1974-06-28,6690.59,68.0,86.78,5901.04,789.55,1047.0,0.709627740756229
1974-07-01,6665.93,68.0,86.89,5908.52,757.41,1047.0,0.6789264131734569
1974-07-02,6813.68,68.0,86.26,5865.68,948.0,1047.0,0.8609629580179394
1974-07-03,6879.44,68.0,85.15,5790.2,1089.24,1047.0,0.9958671072761742
1974-07-05,6948.13,68.0,84.45,5742.6,1205.53,1047.0,1.106932403558904
1974-07-08,7304.46,68.0,83.13,5652.84,1651.62,1047.0,1.532994846849082
1974-07-09,7273.47,85.0,82.5,7012.5,260.97,1056.0,0.1687871563177481
1974-07-10,7281.78,85.0,82.22,6988.7,293.08,1056.0,0.19919673186644138
1974-07-11,7231.6,85.0,81.08,6891.8,339.8,1056.0,0.24343837464237206
1974-07-12,7603.25,85.0,83.65,7110.25,493.0,1056.0,0.3885120254215142
1974-07-15,7645.23,85.0,84.89,7215.65,429.58,1056.0,0.3284582546415562
1974-07-16,7592.85,85.0,83.85,7127.25,465.6,1056.0,0.36256404716356627
1974-07-17,7620.04,85.0,84.13,7151.05,468.99,1056.0,0.3657742889982738
1974-07-18,7663.45,85.0,85.39,7258.15,405.3,1056.0,0.3054677102562251
1974-07-19,7627.0,85.0,84.67,7196.95,430.05,1056.0,0.3289009318952525
1974-07-22,7618.65,85.0,84.44,7177.4,441.25,1056.0,0.33950607610074357
1974-07-23,7652.1,85.0,85.63,7278.55,373.55,1056.0,0.27539454094806715
1974-07-24,7652.46,85.0,85.64,7279.4,373.06,1056.0,0.27493156683938613
1974-07-25,7633.04,85.0,85.67,7281.95,351.09,1056.0,0.2541269852839765
1974-07-26,7590.26,85.0,84.17,7154.45,435.81,1056.0,0.3343515371742596
1974-07-29,7552.36,85.0,82.02,6971.7,580.66,1056.0,0.4715248823517584
1974-07-30,7451.81,85.0,81.52,6929.2,522.61,1056.0,0.41655464651963037
1974-07-31,7430.0,85.0,80.82,6869.7,560.3,1056.0,0.45223989224995975
1974-08-01,7395.19,85.0,80.02,6801.7,593.49,1056.0,0.4836710242171858
1974-08-02,7296.13,85.0,79.39,6748.15,547.98,1056.0,0.44058077897820613
1974-08-05,7333.17,85.0,80.31,6826.35,506.82,1056.0,0.40160132606182053
1974-08-06,7442.69,85.0,82.65,7025.25,417.44,1056.0,0.3169600788679796
1974-08-07,7558.54,85.0,82.93,7049.05,509.49,1056.0,0.40412899278971803
1974-08-08,7586.97,85.0,83.53,7100.05,486.92,1056.0,0.3827597433990242
